InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
r6i.24xlarge,96,768.0,N/A,3.5,ap-south-1
r5a.large,2,16.0,N/A,2.5,ap-south-1
c7g.4xlarge,16,32.0,N/A,2.6,ap-south-1
r6gd.large,2,16.0,118,2.5,ap-south-1
m5.24xlarge,96,384.0,N/A,3.1,ap-south-1
c5d.2xlarge,8,16.0,200,3.4,ap-south-1
r5ad.12xlarge,48,384.0,1800,2.2,ap-south-1
c5a.4xlarge,16,32.0,N/A,3.3,ap-south-1
r7i.16xlarge,64,512.0,N/A,3.2,ap-south-1
m6id.32xlarge,128,512.0,7600,3.5,ap-south-1
c6g.12xlarge,48,96.0,N/A,2.5,ap-south-1
m6idn.4xlarge,16,64.0,950,3.5,ap-south-1
c6g.xlarge,4,8.0,N/A,2.5,ap-south-1
c7g.xlarge,4,8.0,N/A,2.6,ap-south-1
d3.8xlarge,32,256.0,47520,3.1,ap-south-1
r3.8xlarge,32,244.0,640,2.5,ap-south-1
